periodid,periodname,periodcode,perioddescription,Confirmed uncomplicated Malaria,Persons with clinically diagnosed Malaria,Severe Malaria cases seen,Children <5 yrs who received LLIN,Persons presenting with fever & tested by RDT,Persons presenting with fever and tested by Microscopy,Persons tested positive for malaria by Microscopy,Persons tested positive for malaria by RDT,Persons with Confirmed Uncomplicated Malaria treated with ACT,Persons with Confirmed Uncomplicated Malaria treated with other antimalarials,Persons with fever,Persons Clinically diagnosed with Malaria treated with ACT,Adequate Clinical and Parasitological Cure Rate Corrected AA,Adequate Clinical and Parasitological Cure Rate Corrected AL,Adequate Clinical and Parasitological Cure Rate Corrected DHP,Adequate Clinical and Parasitological Cure Rate Uncorrected AA,Adequate Clinical and Parasitological Cure Rate Uncorrected AL,Adequate Clinical and Parasitological Cure Rate Uncorrected DHP
201501,Jan-15,201501,,6445,10580,54,545,7573,264,251,6775,7069,342,16202,9035,,,,,,
201502,Feb-15,201502,,6232,16179,103,658,7021,195,160,6206,7327,206,19844,15553,,,,,,
201503,Mar-15,201503,,5268,45717,32,371,5446,225,214,4753,6683,268,48871,44279,,,,,,
201504,Apr-15,201504,,6142,60423,97,289,7550,135,78,6089,6946,492,65345,57438,,,,,,
201505,May-15,201505,,3081,9599,66,335,2901,145,121,2434,3753,272,9252,8109,,,,,,
201506,Jun-15,201506,,4558,11935,492,551,4980,212,144,4496,4353,362,14972,10722,,,,,,
201507,Jul-15,201507,,4330,11343,73,206,6611,324,218,4648,4284,759,15419,8262,,,,,,
201508,Aug-15,201508,,9841,9635,95,368,13086,1519,1465,9331,9359,905,18910,7959,,,,,,
201509,Sep-15,201509,,8956,7217,325,193,10384,298,217,8422,8608,552,16886,5611,,,,,,
201510,Oct-15,201510,,6615,7478,296,261,7729,668,266,6385,6264,455,13317,5099,,,,,,
201511,Nov-15,201511,,6081,4892,345,83,6750,618,417,5692,4912,650,11326,2382,,,,,,
201512,Dec-15,201512,,4069,3313,50,123,4241,554,203,3791,3274,855,8052,1721,,,,,,
201601,Jan-16,201601,,5019,2661,117,120,5514,1088,628,5078,4150,692,9391,1311,,,,,,
201602,Feb-16,201602,,8307,1962,44,219,9514,1178,503,7990,7835,547,13076,954,,,,,,
201603,Mar-16,201603,,6806,1372,93,94,6980,781,264,6396,6196,547,9963,554,,,,,,
201604,Apr-16,201604,,7815,1817,44,112,8896,455,285,7656,7076,938,11469,739,,,,,,
201605,May-16,201605,,9915,1413,86,1694,10684,191,152,9695,9094,337,11887,969,,,,,,
201606,Jun-16,201606,,931,155,1,185,1068,66,42,880,929,17,1188,149,,,,,,
201607,Jul-16,201607,,10906,1603,59,2720,12175,125,73,10966,10327,242,14258,454,,,,,,
201608,Aug-16,201608,,13511,2527,67,4364,16933,186,128,13666,12609,497,19603,1559,,,,,,
201609,Sep-16,201609,,10804,1065,46,3624,13747,807,161,12037,10401,359,13351,543,,,,,,
201610,Oct-16,201610,,10101,1317,90,4648,11935,262,202,10003,9414,727,14772,642,,,,,,
201611,Nov-16,201611,,10396,1085,58,5738,12527,285,292,10339,9851,464,14198,712,,,,,,
201612,Dec-16,201612,,7733,1139,18,5359,8030,197,167,7287,6945,302,9470,344,,,,,,
201701,Jan-17,201701,,6214,578,27,3612,6854,588,517,5936,5592,356,8019,440,,,,,,
201702,Feb-17,201702,,5024,579,42,3930,5804,184,151,4927,4899,409,6583,285,,,,,,
201703,Mar-17,201703,,5588,1080,74,3122,6556,271,243,5345,5064,814,8074,366,,,,,,
201704,Apr-17,201704,,4919,862,112,2351,5611,323,281,4903,4527,484,6816,530,,,,,,
201705,May-17,201705,,7945,1848,44,2486,9477,495,406,8024,6782,1212,11727,750,,,,,,
201706,Jun-17,201706,,7894,1340,35,1917,9221,360,298,7859,6827,981,11038,1055,,,,,,
201707,Jul-17,201707,,12769,1381,89,5633,14033,248,225,12798,12115,588,16760,1069,,,,,,
201708,Aug-17,201708,,11291,1147,72,6510,12807,252,217,11290,10496,704,14428,768,,,,,,
201709,Sep-17,201709,,8798,1032,65,5506,9990,270,236,8968,8456,713,11231,527,,,,,,
201710,Oct-17,201710,,10221,822,51,5675,11433,318,230,10234,9620,610,12842,684,,,,,,
201711,Nov-17,201711,,9966,981,34,5325,11387,171,150,10007,9371,626,13409,904,,,,,,
201712,Dec-17,201712,,8000,605,17,5013,8819,211,179,8072,7620,490,9806,334,,,,,,
201801,Jan-18,201801,,7128,698,35,4965,7633,785,765,6534,5973,1169,9252,431,,,,,,
201802,Feb-18,201802,,5800,901,33,4431,6853,223,180,5769,5189,466,8008,786,,,,,,
