Months,Rainfall,Temp,year,Confirmed uncomplicated Malaria,Population,Persons with fever,x,y
Jan,0.3,27,2015,21,2933031,753,4.3874,8.9669
Feb,12.6,30,2015,1296,2933031,2533,4.3874,8.9669
Mar,45.79,30,2015,2514,2933031,4655,4.3874,8.9669
Apr,2.4,30,2015,1704,2933031,2836,4.3874,8.9669
May,93.64,29,2015,2325,2933031,4634,4.3874,8.9669
Jun,84.4,27,2015,3368,2933031,6096,4.3874,8.9669
Jul,131.94,26,2015,1510,2933031,4716,4.3874,8.9669
Aug,161.01,25,2015,1855,2933031,4842,4.3874,8.9669
Sep,168.92,25,2015,1446,2933031,4611,4.3874,8.9669
Oct,108.9,27,2015,1773,2933031,6121,4.3874,8.9669
Nov,5,28,2015,2737,2933031,5012,4.3874,8.9669
Dec,0,26,2015,448,2933031,1178,4.3874,8.9669
Jan,0.1,27,2016,231,3009755,626,4.3874,8.9669
Feb,0.5,29,2016,6800,3009755,9912,4.3874,8.9669
Mar,98.19,30,2016,9635,3009755,14979,4.3874,8.9669
Apr,140.8,29,2016,14056,3009755,21383,4.3874,8.9669
May,103.84,28,2016,14190,3009755,22270,4.3874,8.9669
Jun,119.32,26,2016,14335,3009755,21791,4.3874,8.9669
Jul,151.65,25,2016,11713,3009755,19044,4.3874,8.9669
Aug,214.55,25,2016,11326,3009755,18283,4.3874,8.9669
Sep,270.11,25,2016,10245,3009755,18141,4.3874,8.9669
Oct,84.74,27,2016,12337,3009755,21907,4.3874,8.9669
Nov,3.1,28,2016,9106,3009755,16943,4.3874,8.9669
Dec,1,28,2016,16643,3009755,23512,4.3874,8.9669
Jan,1.2,28,2017,11984,3089231,16922,4.3874,8.9669
Feb,0.4,29,2017,14052,3089231,19570,4.3874,8.9669
Mar,22.1,31,2017,13640,3089231,20015,4.3874,8.9669
Apr,90.41,30,2017,13315,3089231,21614,4.3874,8.9669
May,121.65,28,2017,13678,3089231,20916,4.3874,8.9669
Jun,175.52,27,2017,16924,3089231,24014,4.3874,8.9669
Jul,118.04,26,2017,17723,3089231,25111,4.3874,8.9669
Aug,204.87,25,2017,18782,3089231,27837,4.3874,8.9669
Sep,151.46,25,2017,14223,3089231,22669,4.3874,8.9669
Oct,53.09,28,2017,16040,3089231,26643,4.3874,8.9669
Nov,1.9,29,2017,13172,3089231,23091,4.3874,8.9669
Dec,1.5,30,2017,8965,3089231,17587,4.3874,8.9669
Jan,0,29,2018,8249,3172216,17031,4.3874,8.9669
Feb,41.21,31,2018,8852,3172216,16429,4.3874,8.9669
Mar,15.4,30,2018,7152,3172216,14750,4.3874,8.9669
Apr,50.57,30,2018,8666,3172216,13023,4.3874,8.9669
May,70.61,28,2018,4539,3172216,8323,4.3874,8.9669
Jun,179.66,27,2018,16109,3172216,22926,4.3874,8.9669
Jul,135.07,25,2018,20524,3172216,29867,4.3874,8.9669
Aug,265.41,25,2018,20494,3172216,29734,4.3874,8.9669
Sep,237.96,25,2018,21187,3172216,28726,4.3874,8.9669
Oct,108.52,27,2018,24488,3172216,31447,4.3874,8.9669
Nov,6.2,29,2018,22063,3172216,31155,4.3874,8.9669
Dec,0,29,2018,24133,3172216,32297,4.3874,8.9669
Jan,3.4,30,2019,16503,3259613,22951,4.3874,8.9669
Feb,13,31,2019,20679,3259613,28348,4.3874,8.9669
Mar,50.4,31,2019,19912,3259613,29312,4.3874,8.9669
Apr,80,31,2019,19288,3259613,28220,4.3874,8.9669
May,132.34,29,2019,19853,3259613,27351,4.3874,8.9669
Jun,144.51,26,2019,25786,3259613,35735,4.3874,8.9669
Jul,264.37,25,2019,28915,3259613,40361,4.3874,8.9669
Aug,172.01,24,2019,30278,3259613,40651,4.3874,8.9669
Sep,298.17,25,2019,25349,3259613,35704,4.3874,8.9669
Oct,247.99,25,2019,29367,3259613,41031,4.3874,8.9669
Nov,16.09,28,2019,28509,3259613,39538,4.3874,8.9669
Dec,0,28,2019,28341,3259613,37781,4.3874,8.9669
Jan,0.9,28,2020,22922,3351720,32962,4.3874,8.9669
Feb,0.2,30,2020,21588,3351720,31152,4.3874,8.9669
Mar,66.09,30,2020,20360,3351720,29552,4.3874,8.9669
Apr,85.23,30,2020,19526,3351720,26380,4.3874,8.9669
May,107.9,28,2020,22577,3351720,29267,4.3874,8.9669
Jun,129.26,26,2020,27094,3351720,34911,4.3874,8.9669
Jul,177.71,24,2020,31730,3351720,40269,4.3874,8.9669
Aug,104.18,24,2020,27329,3351720,35942,4.3874,8.9669
Sep,385.04,24,2020,21410,3351720,30305,4.3874,8.9669
Oct,87.03,26,2020,17992,3351720,27256,4.3874,8.9669
Nov,0.3,29,2020,25377,3351720,36348,4.3874,8.9669
Dec,0,29,2020,22740,3351720,30254,4.3874,8.9669
Jan,0,29,2021,22075,3448777,31675,4.3874,8.9669
Feb,0,30,2021,22299,3448777,31094,4.3874,8.9669
Mar,16.99,30,2021,21017,3448777,29823,4.3874,8.9669
Apr,16.99,30,2021,22872,3448777,31399,4.3874,8.9669
May,43.91,28,2021,23975,3448777,32334,4.3874,8.9669
Jun,200.52,26,2021,26845,3448777,37245,4.3874,8.9669
Jul,43.36,25,2021,30022,3448777,41223,4.3874,8.9669
Aug,262.16,24,2021,31146,3448777,42603,4.3874,8.9669
Sep,147.03,24,2021,27486,3448777,38677,4.3874,8.9669
Oct,30.1,26,2021,30321,3448777,41616,4.3874,8.9669
Nov,2.2,28,2021,26619,3448777,36157,4.3874,8.9669
Dec,0,29,2021,28828,3448777,41287,4.3874,8.9669
Jan,0,29,2022,23650,3551023,35977,4.3874,8.9669
Feb,0,30,2022,23290,3551023,33483,4.3874,8.9669
Mar,4,31,2022,20741,3551023,30787,4.3874,8.9669
Apr,40.37,29,2022,23337,3551023,33143,4.3874,8.9669
May,54.36,27,2022,25406,3551023,38165,4.3874,8.9669
