month,PfPR U5,PfPR U10,PfPR U15,Cases U5,Cases U10,Cases U15,Cases U115,Severe cases U5,Severe cases U10,Severe cases U15,Pop U5,Pop U10,Pop U15,PfPR_2to10,annualeir,year,Run_Number,x_Temporary_Larval_Habitat,scale_temp_rain,scale_water_veg
1,0.836858006,0.788074879,0.645198724,3.544454053,2.952392027,0.953002609,0.127111271,0.078765646,0,0,154.4666667,144.2333333,114.9,0.824467314,135.1922267,2010,0,29.26279396,20,50
2,0.824359531,0.814510448,0.697486034,3.486756444,2.485325217,1.631284952,0.063725777,0.079244465,0,0,153.5333333,141.9666667,119.3333333,0.832035755,95.86238485,2010,0,29.26279396,20,50
3,0.79327768,0.799815498,0.692394366,3.207381368,2.609548047,1.028169021,0.106172552,0,0,0,151.7333333,144.5333333,118.3333333,0.820773639,82.30730101,2010,0,29.26279396,20,50
4,0.774603883,0.755723443,0.693696196,3.991296448,2.590430364,1.621771693,0.084967703,0,0,0,149.3666667,145.6,120.0333333,0.776283442,78.50939318,2010,0,29.26279396,20,50
5,0.755175518,0.776251455,0.648953744,4.188793771,2.124563418,1.306442693,0.106277661,0,0,0,148.1333333,143.1666667,121.0666667,0.788897005,88.19179182,2010,0,29.26279396,20,50
6,0.806818182,0.787095271,0.693032015,3.152272835,3.145818777,1.276567079,0.085160986,0,0,0,146.6666667,143.1,123.9,0.814842246,103.2245223,2010,0,29.26279396,20,50
7,0.82849175,0.806364252,0.703133441,3.986753367,2.883096486,1.774716318,0.213600192,0,0,0,143.4333333,147.7,123.4,0.829134558,136.8132212,2010,0,29.26279396,20,50
8,0.827734096,0.806694746,0.730292793,3.826542705,2.589226246,1.438626155,0.105950655,0.173933759,0,0,139.9,150.3666667,118.4,0.825456177,161.7637752,2010,0,29.26279396,20,50
9,0.820314389,0.827070973,0.698583569,4.325272039,3.288288347,1.344192632,0.105314786,0.088270858,0,0,137.8333333,151.7,117.6666667,0.838473054,182.1227619,2010,0,29.26279396,20,50
10,0.855321236,0.832821413,0.697394228,4.027709663,2.6426064,1.022695452,0.084334567,0,0,0,135.9333333,151.9333333,118.9666667,0.854515302,211.1375148,2010,0,29.26279396,20,50
11,0.830034636,0.824527071,0.704321663,4.153884366,2.619047709,1.497538313,0.105950655,0.090301834,0,0,134.7333333,153.3,121.8666667,0.837074362,205.9323035,2010,0,29.26279396,20,50
12,0.837253961,0.828546371,0.688645691,3.50456059,2.720894665,1.298221618,0.042338476,0,0,0,138.8666667,152.0333333,121.8333333,0.850898568,188.4518827,2010,0,29.26279396,20,50
1,0.864501953,0.782307025,0.71480753,3.118896484,2.53252387,1.640910387,0.126787473,0,0,0,136.5333333,153.7333333,118.6333333,0.814508862,148.5857839,2011,0,29.26279396,20,50
2,0.802232468,0.787754219,0.717317487,3.808541663,2.76395496,1.652518392,0.084402822,0,0,0,137.3666667,154.0666667,117.8,0.805315019,104.5386227,2011,0,29.26279396,20,50
3,0.778493085,0.826433808,0.642652945,3.568192773,2.754419893,0.939108029,0.063170649,0,0,0,139.8,154.6,116.6,0.82617708,90.46557216,2011,0,29.26279396,20,50
4,0.75299366,0.796204443,0.707710349,3.428034782,2.36144051,1.284080923,0.062891275,0,0,0,141.9666667,154.5666667,113.7,0.810322204,79.07381777,2011,0,29.26279396,20,50
5,0.775312721,0.792029617,0.686898162,4.307292774,2.861498326,1.065071523,0.062905725,0,0,0,141.2333333,153.0666667,114.2333333,0.818688573,85.54751314,2011,0,29.26279396,20,50
6,0.76260355,0.800473526,0.660076719,3.110059172,2.592552848,0.646208301,0.125804231,0,0,0,140.8333333,154.8666667,112.9666667,0.801715366,105.4094139,2011,0,29.26279396,20,50
7,0.770087699,0.813408548,0.700058072,4.671723202,2.692558065,1.483739838,0.20977011,0,0,0,140.6333333,153.6333333,114.8,0.82181552,118.3250606,2011,0,29.26279396,20,50
8,0.781779156,0.805821025,0.746581321,3.656093359,3.01259768,1.805353552,0.12574644,0.087049842,0,0,139.7666667,153.4666667,114.5666667,0.818606008,151.9624594,2011,0,29.26279396,20,50
9,0.832301096,0.792589344,0.706048615,5.129823856,2.880947292,1.444318876,0.063116027,0,0,0,139.9333333,152.0333333,117.9333333,0.814534884,173.8123317,2011,0,29.26279396,20,50
10,0.817584994,0.822122905,0.727272727,3.936693996,3.4256984,1.116207957,0.147262242,0.085580304,0,0,142.1666667,149.1666667,119.9,0.837015362,194.4176422,2011,0,29.26279396,20,50
11,0.861809636,0.828745487,0.699088146,3.51703874,3.541290633,1.10942246,0.08414501,0.085781433,0,0,141.8333333,147.7333333,120.6333333,0.85193821,207.3927709,2011,0,29.26279396,20,50
12,0.830780108,0.83940285,0.709392265,3.785057694,2.394254774,1.209944755,0.126297578,0,0,0,141.4333333,147.3666667,120.6666667,0.851499634,192.0782663,2011,0,29.26279396,20,50
1,0.808259587,0.81626091,0.673092588,3.8098481,3.185576484,1.387455925,0.147432199,0,0,0,146.9,145.1333333,122.7666667,0.849615157,142.5377224,2012,0,29.26279396,20,50
2,0.817720961,0.82616736,0.648183556,4.183380932,2.36245957,1.196394414,0.126670137,0,0,0,151.2333333,144.2,122.0333333,0.850141096,109.8754524,2012,0,29.26279396,20,50
3,0.798948752,0.78414606,0.636889992,2.877792478,2.614975795,0.603804812,0.063250925,0,0,0,152.2,144.2333333,120.9,0.790600833,86.43002744,2012,0,29.26279396,20,50
4,0.731443411,0.719179678,0.685149602,3.238476567,1.871358693,1.402690127,0.127000697,0.078987233,0,0,154.0333333,143.0333333,121.4333333,0.730312036,74.74155839,2012,0,29.26279396,20,50
5,0.738742658,0.743939044,0.660425532,4.684576876,2.69683671,0.724822685,0.105247982,0,0,0,153.2333333,144.3666667,117.5,0.745812954,84.07939204,2012,0,29.26279396,20,50
6,0.813907719,0.789654383,0.66685747,3.910999268,3.00755319,1.462507188,0.021025345,0.079816312,0,0,152.4333333,145.6333333,116.4666667,0.816654385,103.6029202,2012,0,29.26279396,20,50
7,0.820158103,0.813289658,0.658213581,4.889108688,2.476602815,1.542688049,0.168067232,0.080149323,0,0,151.8,142.4666667,118.3,0.833483079,122.7072285,2012,0,29.26279396,20,50
8,0.83355063,0.800477897,0.697609001,3.410473846,2.005973764,1.540084407,0.105048064,0.079313345,0,0,153.4,139.5,118.5,0.823680241,147.890606,2012,0,29.26279396,20,50
9,0.836272589,0.815845824,0.697843741,4.13237536,2.952652842,1.022122651,0.042230707,0.079468757,0,0,153.1,140.1,119.0333333,0.837264855,172.6369184,2012,0,29.26279396,20,50
10,0.892015707,0.816400581,0.710820387,4.220113315,2.295597494,0.994821489,0.23263224,0.07962478,0,0,152.8,137.8,122.3,0.842357882,196.2535968,2012,0,29.26279396,20,50
11,0.872538412,0.813675214,0.696081118,4.0283489,2.317460373,1.000274047,0.126816843,0,0,0,154.0333333,136.5,121.6333333,0.841797753,218.2262433,2012,0,29.26279396,20,50
12,0.873233405,0.810275689,0.659603369,5.080299936,2.927318335,0.89242056,0.084358931,0.078158461,0,0,155.6666667,133,122.7,0.848553006,186.8861085,2012,0,29.26279396,20,50
1,0.860237893,0.829163508,0.645073489,3.876380622,2.675006405,1.192161173,0.063101482,0,0,0,156.9333333,131.9,122.4666667,0.859831376,148.2054308,2013,0,29.26279396,20,50
2,0.813408548,0.813028344,0.664596273,3.642872676,2.541024446,1.379962221,0.042247817,0,0,0,153.6333333,134.0666667,123.4333333,0.830662232,112.5272897,2013,0,29.26279396,20,50
3,0.783166594,0.752078609,0.685393258,3.810352206,2.299067751,1.074103765,0.063511396,0,0,0,153.2666667,132.3,124.6,0.783926417,86.82146319,2013,0,29.26279396,20,50
4,0.78515962,0.782896411,0.65210356,3.227998205,2.601170808,1.18122974,0.1903465,0,0,0,154.5333333,130.9666667,123.6,0.793009943,77.76979102,2013,0,29.26279396,20,50
5,0.727562739,0.751140395,0.64335291,3.182688192,3.052458242,0.87693543,0.127067015,0,0,0,156.7333333,131.5333333,124.8666667,0.764046645,84.51986547,2013,0,29.26279396,20,50
6,0.756102607,0.814646465,0.704368802,4.303889237,3.041666552,1.076118991,0.106012197,0,0,0,161.1333333,132,124.3666667,0.822614418,99.66347551,2013,0,29.26279396,20,50
7,0.768641677,0.789847716,0.664470071,3.457275152,2.315989882,1.403075233,0.084755599,0,0,0,165.4,131.3333333,121.4,0.824974109,122.2276321,2013,0,29.26279396,20,50
8,0.814522494,0.804482226,0.72935022,4.897395581,2.820710912,0.904460326,0.063688712,0,0,0,168.9333333,129.4,121.0666667,0.834129591,146.6782537,2013,0,29.26279396,20,50
9,0.865967135,0.824207493,0.695184288,4.118986465,2.964369863,1.374764547,0.105901472,0.07226292,0,0,168.3666667,127.2333333,123.9,0.854962985,172.8266538,2013,0,29.26279396,20,50
10,0.855409706,0.789613848,0.705757495,3.411893226,3.304926872,0.968426615,0.084559247,0,0,0,167.6,125.1666667,125.6333333,0.830370594,199.9058573,2013,0,29.26279396,20,50
11,0.873417722,0.812007607,0.710450873,3.39299836,3.37136656,1.712275162,0.147884466,0,0,0,168.5333333,122.7,127.9,0.847826087,211.5454868,2013,0,29.26279396,20,50
12,0.848563448,0.857104413,0.704391009,5.534716398,2.160925686,1.335598513,0.084928162,0.072825216,0,0,167.0666667,123.8666667,127.5333333,0.86089318,207.6878873,2013,0,29.26279396,20,50
1,0.832798073,0.77262181,0.695906433,3.809714973,2.446506783,1.164274335,0.021289006,0,0,0,166.0666667,129.3,125.4,0.813569235,156.124584,2014,0,29.26279396,20,50
2,0.855517171,0.781903766,0.704966443,3.782767698,1.718096226,1.567785263,0.106110824,0.148343831,0,0,164.0333333,127.4666667,124.1666667,0.823905773,111.95532,2014,0,29.26279396,20,50
3,0.824596774,0.780895984,0.686030802,4.04737886,2.819258496,1.479329914,0.021289006,0,0,0,165.3333333,129.4666667,123.3666667,0.826451054,90.83909247,2014,0,29.26279396,20,50
4,0.777087923,0.753881988,0.645100671,3.070298284,2.550465748,1.273825526,0.128377978,0.07310234,0,0,166.4333333,128.8,124.1666667,0.796231884,82.9345489,2014,0,29.26279396,20,50
5,0.785728366,0.739953332,0.600216685,4.173072979,2.176562041,1.087486424,0.107044401,0,0,0,169.1,128.5666667,123.0666667,0.798258345,93.37778953,2014,0,29.26279396,20,50
6,0.779103894,0.794293126,0.665861514,3.642144464,2.745784715,1.077563062,0.064249249,0,0,0,170.3666667,128.5,124.2,0.808201058,93.23110542,2014,0,29.26279396,20,50
7,0.770027354,0.80905307,0.705070348,3.708479851,2.943548329,1.647199325,0.150417993,0.07131692,0,0,170.6,128.1333333,125.5666667,0.81268568,119.382052,2014,0,29.26279396,20,50
8,0.822413456,0.79921363,0.696791444,4.140426576,2.487549201,1.85427808,0.064283196,0.071386665,0,0,170.4333333,127.1666667,124.6666667,0.829739443,158.5132302,2014,0,29.26279396,20,50
9,0.853769841,0.790589452,0.719704953,3.403769813,2.736556284,0.769230783,0.128490966,0,0,0,168,128.9333333,126.5333333,0.827684892,180.4872992,2014,0,29.26279396,20,50
10,0.872370266,0.798214286,0.678703216,3.583450153,2.420918375,1.058249876,0.064196516,0.146263272,0,0,166.3666667,130.6666667,126.4666667,0.832703642,209.3944502,2014,0,29.26279396,20,50
11,0.847759984,0.819619471,0.703175457,4.439489096,2.074376017,1.473358423,0.064125085,0.073991485,0,0,164.4333333,134.9,123.8666667,0.838864694,208.882382,2014,0,29.26279396,20,50
12,0.876468206,0.834337349,0.704210244,3.621911533,3.114959866,1.27245906,0.085400097,0.073916562,0,0,164.6,132.8,124.3,0.858712007,191.6960384,2014,0,29.26279396,20,50
1,0.830387289,0.821678322,0.693663912,4.422045842,2.643606491,1.407713503,0.085255474,0,0,0,167.8333333,133.4666667,121,0.840357409,148.7942663,2015,0,29.26279396,20,50
2,0.807287607,0.812797992,0.703089888,3.627240904,2.015056431,0.820224702,0.127771296,0.071122371,0,0,171.0666667,132.8333333,118.6666667,0.842481035,112.5138788,2015,0,29.26279396,20,50
3,0.773744113,0.774291498,0.665557404,3.437990427,2.493674062,1.012201905,0.106843859,0,0,0,169.8666667,131.7333333,120.2,0.787810722,83.8733584,2015,0,29.26279396,20,50
4,0.752093476,0.763029525,0.631665299,3.411879301,3.09242624,1.097894475,0.128175113,0,0,0,171.1666667,129.8333333,121.9,0.793789569,79.47735054,2015,0,29.26279396,20,50
5,0.744811683,0.80615146,0.678040726,3.086087734,2.169811353,1.406164005,0.085400097,0,0,0,173.4666667,128.9666667,121.1333333,0.818845982,90.67944148,2015,0,29.26279396,20,50
6,0.771286751,0.783157895,0.649276154,4.041618779,3.553947374,1.395793483,0.063997664,0,0,0,174.6,126.6666667,122.0333333,0.800414569,104.4346386,2015,0,29.26279396,20,50
