month,PfPR U5,PfPR U15,PfPR U80,Cases U5,Cases U15,Cases U80,Severe cases U5,Severe cases U15,Severe cases U80,Pop U5,Pop U15,Pop U80,PfPR_2to10,PfPR_16to80,annualeir,year,Run_Number,x_Temporary_Larval_Habitat,scale_temp_rain,scale_water_veg
1,0,0.004087193,0,0,0.082879201,0,0,0,0,144.7666667,146.8,132.0333333,0.002473887,0.002473887,0,1960,0,3.604475727,20,50
2,0,0.004547522,0,0,0,0,0,0,0,147.9333333,146.6,127.4333333,0.002699055,0.002699055,0.097479602,1960,0,3.604475727,20,50
3,0,0.005367927,0.002130493,0,0,0,0,0,0,148.5666667,149.0333333,125.1666667,0.003213712,0.003213712,0.134028512,1960,0,3.604475727,20,50
4,0.006164384,0.030037273,0.020462397,0.250000007,0.640210509,0.775976598,0,0,0,146,152.0333333,125.4333333,0.020808323,0.020808323,9.725509414,1960,0,3.604475727,20,50
5,0.093505297,0.220689655,0.225712777,1.429064937,3.166852154,2.697993577,0,0,0.096356913,144.7333333,149.8333333,126.2666667,0.172180043,0.172180043,31.42296306,1960,0,3.604475727,20,50
6,0.313186813,0.447475203,0.527617044,4.094551221,3.044409439,4.992109299,0,0,0,145.6,147.8666667,126.7333333,0.417721519,0.417721519,98.24897169,1960,0,3.604475727,20,50
7,0.531929825,0.655638082,0.735667964,2.817543782,2.711005971,2.083009094,0.170760229,0,0,142.5,148.1,128.5,0.627949183,0.627949183,87.12883444,1960,0,3.604475727,20,50
8,0.587912088,0.66107078,0.785424073,1.133540347,1.656079888,1.390299685,0,0,0,139.5333333,146.9333333,131.2666667,0.658508983,0.658508983,62.58933786,1960,0,3.604475727,20,50
9,0.505122707,0.607077626,0.707934867,1.391470075,1.666666716,1.509433985,0,0,0,139.9,146,128.9666667,0.591220068,0.591220068,38.39079961,1960,0,3.604475727,20,50
10,0.440421961,0.556447912,0.641876134,2.537760749,2.763882592,2.553770497,0,0,0,139.0333333,145.2666667,128.6333333,0.542787286,0.542787286,99.59514754,1960,0,3.604475727,20,50
11,0.533317296,0.607142857,0.659253376,4.126774207,4.31702245,3.768864043,0.087803707,0,0,138.5666667,143.7333333,125.9,0.624799884,0.624799884,183.4677503,1960,0,3.604475727,20,50
