,GID_1,NAME_1,prev_mpm
0,NGA.1_1,Abia,17.9
1,NGA.2_1,Adamawa,32.8
2,NGA.3_1,Akwa Ibom,27.5
3,NGA.4_1,Anambra,18.9
4,NGA.5_1,Bauchi,25.25
5,NGA.6_1,Bayelsa,31.8
6,NGA.7_1,Benue,46.95
7,NGA.8_1,Borno,15.45
8,NGA.9_1,Cross River,29.15
9,NGA.10_1,Delta,26.3
10,NGA.11_1,Ebonyi,28.8
11,NGA.12_1,Edo,25.4
12,NGA.13_1,Ekiti,39.55
13,NGA.14_1,Enugu,19.05
14,NGA.15_1,Federal Capital Territory,34.8
15,NGA.16_1,Gombe,29.75
16,NGA.17_1,Imo,16.35
17,NGA.18_1,Jigawa,38.05
18,NGA.19_1,Kaduna,42.45
19,NGA.20_1,Kano,37.95
20,NGA.21_1,Katsina,38
21,NGA.22_1,Kebbi,55.9
22,NGA.23_1,Kogi,27.4
23,NGA.24_1,Kwara,37.9
24,NGA.25_1,Lagos,25.15
25,NGA.26_1,Nasarawa,42.65
26,NGA.27_1,Niger,41.45
27,NGA.28_1,Ogun,32.5
28,NGA.29_1,Ondo,35.8
29,NGA.30_1,Osun,41.85
30,NGA.31_1,Oyo,34.75
31,NGA.32_1,Plateau,42.6
32,NGA.33_1,Rivers,19.75
33,NGA.34_1,Sokoto,47.4
34,NGA.35_1,Taraba,36.8
35,NGA.36_1,Yobe,24.9
36,NGA.37_1,Zamfara,55.4
