,GID_1,NAME_1,prev_mpm
0,NGA.1_1,Abia,13.5
1,NGA.2_1,Adamawa,21.1
2,NGA.3_1,Akwa Ibom,23.2
3,NGA.4_1,Anambra,8.8
4,NGA.5_1,Bauchi,30.6
5,NGA.6_1,Bayelsa,12.5
6,NGA.7_1,Benue,12.7
7,NGA.8_1,Borno,10
8,NGA.9_1,Cross River,19.5
9,NGA.10_1,Delta,17
10,NGA.11_1,Ebonyi,30.5
11,NGA.12_1,Edo,14.7
12,NGA.13_1,Ekiti,32.3
13,NGA.14_1,Enugu,17.4
14,NGA.15_1,Federal Capital Territory,20.1
15,NGA.16_1,Gombe,30.3
16,NGA.17_1,Imo,7.8
17,NGA.18_1,Jigawa,35.7
18,NGA.19_1,Kaduna,33
19,NGA.20_1,Kano,32.4
20,NGA.21_1,Katsina,25.5
21,NGA.22_1,Kebbi,52.2
22,NGA.23_1,Kogi,25.4
23,NGA.24_1,Kwara,20.2
24,NGA.25_1,Lagos,1.8
25,NGA.26_1,Nasarawa,13.6
26,NGA.27_1,Niger,31.6
27,NGA.28_1,Ogun,21.6
28,NGA.29_1,Ondo,33.5
29,NGA.30_1,Osun,27.7
30,NGA.31_1,Oyo,23.8
31,NGA.32_1,Plateau,21.4
32,NGA.33_1,Rivers,11.2
33,NGA.34_1,Sokoto,36.4
34,NGA.35_1,Taraba,20.8
35,NGA.36_1,Yobe,13.3
36,NGA.37_1,Zamfara,35.7
