"STUDY_ID","REVIEWERS","INCLUDE","journal","abstract","title","volume","pages","author"
"1","Aaron_1","NO","Annals of tropical paediatrics","The pattern of major congenital malformations seen at University College Hospital, Ibadan, Nigeria among admitted children over a period of 5 years is reported. Their ages at presentation ranged from a few hours to 13 years, and the majority (72.7%) presented in infancy. The male:female ratio was 1.6:1. Cardiovascular, central nervous and gastro-intestinal malformations accounted for 71.6% of all malformations. The commonest individual system malformations were congenital heart lesions, spina bifida, anorectal malformation and omphalocoele, while the highest case fatality rates were recorded in cases of oesophageal atresia, hydrocephalus, biliary atresia and posterior urethral valve. Overall mortality was 19.4%. The importance of both longitudinal and cross-sectional studies of congenital malformations in developing countries, while infectious diseases and malnutrition are being controlled, is emphasized.","Major congenital malformations among paediatric admissions at University College Hospital, Ibadan, Nigeria.","14","75-9","Adeyemo AA and Okolo CM and Omotade OO"
"2","Aaron_1","NO","Molecular ecology","Ten microsatellite loci, four located within and six outside chromosome inversions, were employed to study the genetic structure of Anopheles arabiensis across the ecological zones of Nigeria (arid savannah in the north gradually turns into humid forest in the south). Regardless of location within or outside inversions, genetic variability at all loci was characterized by a reduction in both the number of alleles per locus and heterozygosity from savannah to forest. Across all loci, all but one allele in the forest also occurred in the savannah, whereas at least 78 alleles in the savannah were missing in the forest. Genetic differentiation increased with geographical distance; consequently, genetic distances between zones exceeded those within zones. The largest genetic distances were between localities at the extremes of the transect (range F(ST) = 0.196-0.258 and R(ST) = 0.183-0.468) and were as large as those between A. arabiensis and Anopheles gambiae s.s. Gene flow across the country was very low, so that Nm between the extremes of the transect was < 1. These data suggest that A. arabiensis has extended its range from the savannah into the forest during which it experienced a reduction in effective population size due to sequential founder effects. Gene flow post range expansion appears too restricted by geographical distance to homogenize the gene pool of A. arabiensis across Nigeria.","Population genetic structure of the malaria mosquito Anopheles arabiensis across Nigeria suggests range expansion.","10","2577-91","Onyabe DY and Conn JE"
"3","Aaron_1","maybe","Malaria journal","BACKGROUND: Nigeria carries a high burden of malaria which makes continuous surveillance for current information on genetic diversity imperative. In this study, the merozoite surface proteins (msp-1, msp-2) and glutamate-rich protein (glurp) of Plasmodium falciparum collected from two communities representing rural and urban settings in Ibadan, southwestern Nigeria were analysed. METHODS: A total of 511 febrile children, aged 3-59 months, whose parents/guardians provided informed consent, were recruited into the study. Capillary blood was obtained for malaria rapid diagnostic test, thick blood smears for parasite count and blood spots on filter paper for molecular analysis. RESULTS: Three-hundred and nine samples were successfully genotyped for msp-1, msp-2 and glurp genes. The allelic distribution of the three genes was not significantly different in the rural and urban communities. R033 and 3D7 were the most prevalent alleles in both rural and urban communities for msp-1 and msp-2, respectively. Eleven of glurp RII region genotypes, coded I-XII, with sizes ranging from 500 to 1100 base pairs were detected in the rural setting. Genotype XI (1000-1050 bp) had the highest prevalence of 41.5 and 38.5% in rural and urban settings, respectively. Overall, 82.1 and 70.0% of samples had multiclonal infection with msp-1 gene resulting in a mean multiplicity of infection (MOI) of 2.8 and 2.6 for rural and urban samples, respectively. Msp-1 and msp-2 genes displayed higher levels of diversity and higher MOI rates than the glurp gene. CONCLUSION: Significant genetic diversity was observed between rural and urban parasite populations in Ibadan, southwestern Nigeria. The results of this study show that malaria transmission intensity in these regions is still high. No significant difference was observed between rural and urban settings, except for a completely different msp-1 allele, compared to previous reports, thereby confirming the changing face of malaria transmission in these communities. This study provides important baseline information required for monitoring the impact of malaria elimination efforts in this region and data points useful in revising current protocols.","Extensive diversity in the allelic frequency of Plasmodium falciparum merozoite surface proteins and glutamate-rich protein in rural and urban settings of southwestern Nigeria.","17","1","Funwei RI and Thomas BN and Falade CO and Ojurongbe O"
"4","Aaron_1","NO","BMC microbiology","BACKGROUND: Staphylococcus aureus is an important pathogen causing a wide range of infections in the hospital and community setting. In order to have adequate information for treatment of S. aureus infections, it is crucial to understand the trends in the antibiotic-resistance patterns. In addition, the occurrence and changes in types of S. aureus, clonal identities, and their geographic spread is essential for the establishment of adequate infection control programmes. In this study, 68 S. aureus isolates obtained from clinical and non-clinical sources in Nigeria between January and April 2009 were characterized using phenotypic and molecular methods. RESULTS: All the S. aureus isolates were susceptible to teicoplanin, vancomycin, phosphomycin, fusidic acid, rifampicin, daptomycin, mupirocin, linezolid and tigecycline. Sixteen percent of the isolates were resistant to oxacillin, while 55% and 72% of isolates were resistant to tetracycline and trimethoprim/sulphamethoxazole (cotrimoxazole), respectively (Table 1). There was excellent correlation between the broth microdilution assay and detection of antibiotic resistance genes by the multiplex PCR, in the determination of S. aureus resistance to erythromycin, gentamicin, methicillin and tetracycline. A total of 28 spa types were identified in the study, and the predominant spa type among the methicillin-susceptible S. aureus (MSSA) isolates was t084 (13 isolates). The t037-ST241-SCCmecIII type was the only clone identified in Maiduguri (North-East Nigeria) while in South-West Nigeria, diversity among the MRSA isolates (t451-ST8-SCCmecV; t008-ST94-SCCmecIV; t002-ST5-SCCmecV; t064-ST8-SCCmecV) was observed. The toxin genes seh and etd were detected in isolates affiliated with clonal complexes CC1, CC80 and sequence type ST25, respectively. The proportion of PVL-positive isolates among MSSA was high (40%). Most of the PVL-positive MSSA isolates were obtained from wound infections and associated with clonal complexes CC1, CC30, CC121 and with sequence type ST152. CONCLUSIONS: The use of phenotypic and molecular methods provided useful information on antibiotic resistance and molecular diversity of S. aureus in Nigeria. The high proportion of PVL-positive MSSA isolates affiliated to various clonal complexes and detected in all the health institutions is a major concern, both as a source of severe infections and as a potential reservoir that could lead to the emergence of PVL-positive MRSA. This study presents the first baseline information on the nature of the antibiotic resistance genes from S. aureus isolates in Nigeria. There is the need to curtail the spread and establishment of MRSA and PVL-positive MSSA clones in Nigerian health care institutions.","Antibiotic resistance and molecular epidemiology of Staphylococcus aureus in Nigeria.","11","92","Shittu AO and Okon K and Adesida S and Oyedara O and Witte W and Strommenger B and Layer F and Nübel U"
"8","Aaron_1","NO","Marine pollution bulletin","Median enterococci counts of beach water samples gradually increased at statistically significant levels (χ2: 26.53, df: 4; p<0.0001) with increasing proximity to river influx. The difference in proportion of antibiotic resistant enterococci in beach water and river water samples was statistically significant (p<0.05) for the tested antibiotics with river isolates generally presenting higher resistance frequencies. Virulence genes cyl, esp, gelE and asa were detected at varying frequencies (7.32%, 21.95%, 100% and 63.41% respectively) among river isolates. On the other hand, the prevalence of these genes was lower (0%, 20%, 67.27% and 41.82% respectively) among beach water isolates. Multi-Locus-Sequence-Typing analysis of Enterococcus faecalis presented four sequence types (ST) one of which shared six out of seven tested loci with ST6, a member of the clonal complex of multi-drug resistant strains associated with hospital outbreaks.","Occurrence of Enterococcus species with virulence markers in an urban flow-influenced tropical recreational beach.","82","26-38","Ahmad A and Dada AC and Usup G and Heng LY"
"9","Aaron_1","NO","International journal of STD & AIDS","Antimicrobial-resistant Neisseria gonorrhoeae (NG) is a global public health issue that threatens effectiveness of current treatments of NG. Increased use of nucleic acid amplification tests (NAATs) in lieu of cultures makes obtaining clinical isolates for susceptibility testing difficult and samples collected in commercial transport buffer for NAATs do not preserve viable organism, while molecular methods of assessing antibiotic susceptibility do not require viable organism. We evaluated 243 NG-positive samples in Aptima transport media including urine, oral, and rectal swabs from Nigerian men who have sex with men for markers to penicillinase-producing NG, ciprofloxacin ( GyrA and ParC mutations), and extended spectrum cephalosporins (ESCs, PenA mosaic [allele X], PonA, mtrR, PorB mutations) by real-time PCR. NG DNA was recovered in 75% (183/243) of samples. Of these, 93% (171/183) were positive for at least one resistance marker. We observed a prevalence of dual resistance markers to penicillin and ciprofloxacin at 46.2% (79/171). Six percent of samples (10/171) tested positive for the PenA mosaic (allele X) ESC marker. These data indicate that antibiotic-resistant NG is common in Nigeria. Laboratory and clinical capacity building in Nigeria should include development of methods to culture NG and determine antimicrobial susceptibility.","Molecular screening for Neisseria gonorrhoeae antimicrobial resistance markers in Nigerian men who have sex with men and transgender women.","29","1273-1281","Hardick J and Crowell TA and Lombardi K and Akintunde A and Odeyemi S and Ivo A and Eluwa G and Njab J and Baral SD and Nowak RG and Quinn TC and Barbian K and Anzick S and Adebajo S and Charurat ME and Ake J and Gaydos CA"
"10","Aaron_1","NO","mSphere","Acinetobacter baumannii causes difficult-to-treat infections mostly among immunocompromised patients. Clinically relevant A. baumannii lineages and their carbapenem resistance mechanisms are sparsely described in Nigeria. This study aimed to characterize the diversity and genetic mechanisms of carbapenem resistance among A. baumannii strains isolated from hospitals in southwestern Nigeria. We sequenced the genomes of all A. baumannii isolates submitted to Nigeria's antimicrobial resistance surveillance reference laboratory between 2016 and 2020 on an Illumina platform and performed in silico genomic characterization. Selected strains were sequenced using the Oxford Nanopore technology to characterize the genetic context of carbapenem resistance genes. The 86 A. baumannii isolates were phylogenetically diverse and belonged to 35 distinct Oxford sequence types ((oxf)STs), 16 of which were novel, and 28 Institut Pasteur STs ((pas)STs). Thirty-eight (44.2%) isolates belonged to none of the known international clones (ICs). Over 50% of the isolates were phenotypically resistant to 10 of 12 tested antimicrobials. The majority (n = 54) of the isolates were carbapenem resistant, particularly the IC7 ((pas)ST25; 100%) and IC9 ((pas)ST85; >91.7%) strains. bla(OXA-23) (34.9%) and bla(NDM-1) (27.9%) were the most common carbapenem resistance genes detected. All bla(OXA-23) genes were carried on Tn2006 or Tn2006-like transposons. Our findings suggest that a 10-kb Tn125 composite transposon is the primary means of bla(NDM-1) dissemination. Our findings highlight an increase in bla(NDM-1) prevalence and the widespread transposon-facilitated dissemination of carbapenemase genes in diverse A. baumannii lineages in southwestern Nigeria. We make the case for improving surveillance of these pathogens in Nigeria and other understudied settings. IMPORTANCE Acinetobacter baumannii bacteria are increasingly clinically relevant due to their propensity to harbor genes conferring resistance to multiple antimicrobials, as well as their ability to persist and disseminate in hospital environments and cause difficult-to-treat nosocomial infections. Little is known about the molecular epidemiology and antimicrobial resistance profiles of these organisms in Nigeria, largely due to limited capacity for their isolation, identification, and antimicrobial susceptibility testing. Our study characterized the diversity and antimicrobial resistance profiles of clinical A. baumannii in southwestern Nigeria using whole-genome sequencing. We also identified the key genetic elements facilitating the dissemination of carbapenem resistance genes within this species. This study provides key insights into the clinical burden and population dynamics of A. baumannii in hospitals in Nigeria and highlights the importance of routine whole-genome sequencing-based surveillance of this and other previously understudied pathogens in Nigeria and other similar settings.","High Genetic Diversity of Carbapenem-Resistant Acinetobacter baumannii Isolates Recovered in Nigerian Hospitals in 2016 to 2020.","8","e0009823","Odih EE and Oaikhena AO and Underwood A and Hounmanou YMG and Oduyebo OO and Fadeyi A and Aboderin AO and Ogunleye VO and Argimón S and Akpunonu VN and Oshun PO and Egwuenu A and Okwor TJ and Ihekweazu C and Aanensen DM and Dalsgaard A and Okeke IN"
"12","Aaron_1","NO","Journal of virology","The arenavirus Lassa virus causes Lassa fever, a viral hemorrhagic fever that is endemic in the countries of Nigeria, Sierra Leone, Liberia, and Guinea and perhaps elsewhere in West Africa. To determine the degree of genetic diversity among Lassa virus strains, partial nucleoprotein (NP) gene sequences were obtained from 54 strains and analyzed. Phylogenetic analyses showed that Lassa viruses comprise four lineages, three of which are found in Nigeria and the fourth in Guinea, Liberia, and Sierra Leone. Overall strain variation in the partial NP gene sequence was found to be as high as 27% at the nucleotide level and 15% at the amino acid level. Genetic distance among Lassa strains was found to correlate with geographic distance rather than time, and no evidence of a ""molecular clock"" was found. A method for amplifying and cloning full-length arenavirus S RNAs was developed and used to obtain the complete NP and glycoprotein gene (GP1 and GP2) sequences for two representative Nigerian strains of Lassa virus. Comparison of full-length gene sequences for four Lassa virus strains representing the four lineages showed that the NP gene (up to 23.8% nucleotide difference and 12.0% amino acid difference) is more variable than the glycoprotein genes. Although the evolutionary order of descent within Lassa virus strains was not completely resolved, the phylogenetic analyses of full-length NP, GP1, and GP2 gene sequences suggested that Nigerian strains of Lassa virus were ancestral to strains from Guinea, Liberia, and Sierra Leone. Compared to the New World arenaviruses, Lassa and the other Old World arenaviruses have either undergone a shorter period of diverisification or are evolving at a slower rate. This study represents the first large-scale examination of Lassa virus genetic variation.","Genetic diversity among Lassa virus strains.","74","6992-7004","Bowen MD and Rollin PE and Ksiazek TG and Hustad HL and Bausch DG and Demby AH and Bajani MD and Peters CJ and Nichol ST"
"14","Aaron_1","NO","Cell stress & chaperones","Urbanization in low-income countries represents an important inflection point in the epidemiology of disease, with rural populations experiencing high rates of chronic and recurrent infections and urban populations displaying a profile of noncommunicable diseases. To investigate if urbanization alters the expression of genes encoding mitochondrial proteins, we queried gene microarray data from rural and urban populations living in Morocco (GSE17065). The R Bioconductor packages edgeR and limma were used to identify genes with different expression. The experimental design was modeled upon location and sex. Nuclear genes encoding mitochondrial proteins were identified from the MitoCarta2.0 database. Of the 1158 genes listed in the MitoCarta2.0 database, 847 genes (73%) were available for analysis in the Moroccan dataset. The urban-rural comparison with the greatest environmental differences showed that 76.5% of the MitoCarta2.0 genes were differentially expressed, with 97% of the genes having an increased expression in the urban area. Enrichment analysis revealed 367 significantly enriched pathways (adjusted p value < 0.05), with oxidative phosphorylation, insulin secretion and glucose regulations (adj.p values = 6.93E-16) being the top three. Four significantly perturbed KEGG disease pathways were associated with urbanization-three degenerative neurological diseases (Huntington's, Alzheimer's, and Parkinson's diseases) and herpes simplex infection (false discover rate corrected p value (PGFdr) < 0.2). Mitochondrial RNA metabolic processing and translational elongation were the biological processes that had the greatest enrichment (enrichment ratios 14.0 and 14.8, respectively, FDR < 0.5). Our study links urbanization in Morocco with changes in the expression of the nuclear genes encoding mitochondrial proteins.","Differential expression of nuclear genes encoding mitochondrial proteins from urban and rural populations in Morocco.","25","847-856","Bickler SW and Prieto JM and Cauvi DM and De Cos V and Nasamran C and Ameh E and Amin S and Nicholson S and Din H and Mocumbi AO and Noormahomed EV and Tellez-Isaias G and Fisch KM and De Maio A"
"15","Aaron_1","NO","bioRxiv : the preprint server for biology","The clinical presentation overlap between malaria and COVID-19 poses special challenges for rapid diagnosis in febrile children. In this study, we collected RNA-seq data of children with malaria and COVID-19 infection from the public databases as raw data in fastq format paired end files. A group of six, five and two biological replicates of malaria, COVID-19 and healthy donors respectively were used for the study. We conducted differential gene expression analysis to visualize differences in the expression profiles. Using edgeR, we explored particularly gene expression levels in different phenotype groups and found that 1084 genes and 2495 genes were differentially expressed in the malaria samples and COVID-19 samples respectively when compared to healthy controls. The highly expressed gene in the COVID-19 group we found CD151 gene which is facilitates in T cell proliferation, while in the malaria group, among the highly expressed gene we identified GBP5 gene which involved in inflammatory response and response to bacterium. By comparing both malaria and COVID-19 infections, the overlap of 62 differentially expressed genes patterns were identified. Among them, three genes (ENSG00000234998, H2AC19 and TXNDC5) were highly upregulated in both infections. Strikingly, we observed 13 genes such as HBQ1, HBM, SLC7A5, SERINC2, ATP6V0C, ST6GALNAC4, RAD23A, PNPLA2, GAS2L1, TMEM86B, SLC6A8, UBALD1, RNF187 were downregulated in children with malaria and uniquely upregulated in children with COVID-19, thus may be further validated as potential biomarkers to delineate COVID-19 from malaria-related febrile infection. The hemoglobin complexes and lipid metabolism biological pathways are highly expressed in both infections. Our study provided new insights for further investigation of the biological pattern in hosts with malaria and COVID-19 coinfection.","Transcriptional Profiles Analysis of COVID-19 and Malaria Patients Reveals Potential Biomarkers in Children.",NA,NA,"Lambert N and Kengne-Ouafo JA and Rissy WM and Diane U and Murithi K and Kimani P and Awe OI and Dillman A"
